id	latin	common
american_goldfinch	Spinus tristis	American Goldfinch
cedar_waxwing	Bombycilla cedrorum	Cedar Waxwing
common_yellowthroat	Geothlypis trichas	Common Yellowthroat
dark-eyed_junco	Junco hyemalis	Dark-eyed Junco
gray_catbird	Dumetella carolinensis	Gray Catbird
house_wren	Troglodytes aedon	House Wren
lincolns_sparrow	Melospiza lincolnii	Lincoln's Sparrow
magnolia_warbler	Setophaga magnolia	Magnolia Warbler
nashville_warbler	Oreothlypis ruficapilla	Nashville Warbler
northern_bobwhite	Colinus virginianus	Northern Bobwhite
ruby-throated_hummingbird	Archilochus colubris	Ruby-throated Hummingbird
ruffed_grouse	Bonasa umbellus	Ruffed Grouse
song_sparrow	Melospiza melodia	Song Sparrow
white-throated_sparrow	Zonotrichia albicollis	White-throated Sparrow
wilsons_snipe	Gallinago delicata	Wilson's Snipe
wilsons_warbler	Cardellina pusilla	Wilson's Warbler
yellow_warbler	Setophaga petechia	Yellow Warbler
yellow-billed_cuckoo	Coccyzus americanus	Yellow-billed Cuckoo
yellow-breasted_chat	Icteria virens	Yellow-breasted Chat
