id	latin	common	group	info
alder_flycatcher	Empidonax alnorum	Alder Flycatcher	shrubland	Found in dense, wet stands of shrubs and saplings with minimal to no tree canopy. In addition to occurring in regenerating clearcuts, they are also regularly encountered in wetlands and along the margins of streams and lakes.
american_goldfinch	Spinus tristis	American Goldfinch	shrubland	Typically found in open woodlands across North America. Special habitat features include weedy areas with an abundance of composite flowers (especially thistles and dandelions) which provide food (seeds) and nest material.
american_woodcock	Scolopax minor	American Woodcock	shrubland	
black-and-white_warbler	Mniotilta varia	Black-and-white Warbler	shrubland	Occurs in regenerating patch and clearcuts, but also occur in mature deciduous forests with dense saplings or pole-sized trees. Can be seen probing for insects along tree trunks and branches.
blue-winged_warbler	Vermivora cyanoptera	Blue-winged Warbler	shrubland	Prefers openings with dense cover of herbaceous vegetation and patchy shrub/sapling cover. Although they are shrubland specialists, they will use small patches, and they will tolerate the presence of some mature trees. One of the species of highest conservation concern in Massachusetts.
brown_thrasher	Toxostoma rufum	Brown Thrasher	shrubland	Large and secretive birds that inhabit open areas with dense clusters of shrubs. This species prefers dry habitats with deep litter cover, where they forage for insects and mast. Brown thrashers have one of the most extensive repertoires of any North American songbird.
canada_warbler	Cardellina canadensis	Canada Warbler	shrubland	Tolerant of moderate levels of canopy cover, and are associated with moderate to high densities of saplings and shrubs. An understory with moss and coarse woody debris may provide important habitat for this species. One of the highest priority birds in terms of conservation status in Massachusetts.
carolina_wren	Thryothorus ludovicianus	Carolina Wren	shrubland	
cedar_waxwing	Bombycilla cedrorum	Cedar Waxwing	shrubland	This fruit-eating species is attracted to open areas with few tall trees and numerous berry-producing shrubs, especially native shrubs. Fruit availability is crucial to habitat selection, so cedar waxwings can be found in berry bushes, evergreens, and along the banks of rivers and ponds.
chestnut-sided_warbler	Setophaga pensylvanica	Chestnut-sided Warbler	shrubland	Inhabits areas with dense shrub and sapling cover. They occur in clearcuts, but also nest in shelterwood cuts, although at lower densities. They make frequent forays into adjacent mature forest for forage and collect nesting material, particularly birch bark.
common_yellowthroat	Geothlypis trichas	Common Yellowthroat	shrubland	Associated with dense herbaceous vegetation. In addition to silvicultural openings, they occur in wetlands, riparian areas and fallow field on farms.
dark-eyed_junco	Junco hyemalis	Dark-eyed Junco	shrubland	A northerly species commonly found in dry areas with moderate to dense cover of shrubs and herbaceous vegetation. Juncos may use areas occupied by taller trees, provided the canopy is somewhat open. Slash and coarse woody debris may be important habitat features for this species.
eastern_towhee	Pipilo erythrophthalmus	Eastern Towhee	shrubland	This large sparrow can be found along the shrubby edges of forests, thickets, and old fields. Eastern towhees prefer dry, open habitats with relatively few trees and dense to patchy shrub cover.
field_sparrow	Spizella pusilla	Field Sparrow	shrubland	Inhabits dry, grassy areas with low to moderate shrub cover. Some small trees may be tolerated. They are one of the most area-sensitive species that occur in silvicultural openings in Massachusetts.
golden-winged_warbler	Vermivora chrysoptera	Golden-winged Warbler	shrubland	Breeds in sites with patchy shrub cover and dense herbaceous vegetation. Golden-winged warblers are one of the highest priority species in Massachusetts with respect to its conservation status and are very sparsely distributed.
gray_catbird	Dumetella carolinensis	Gray Catbird	shrubland	A relative of thrashers and mockingbirds, gray catbirds have the ability to mimic the sounds of other species. They use habitats with low or open canopies, and dense patches of shrubs and saplings, including residential yards.
house_wren	Troglodytes aedon	House Wren	shrubland	
indigo_bunting	Passerina cyanea	Indigo Bunting	shrubland	This brightly colored bird occupies open areas with moderate to dense shrub cover and dense herbaceous vegetation. Indigo buntings will use forest edges and areas with some tall trees for song posts.
lincolns_sparrow	Melospiza lincolnii	Lincoln's Sparrow	shrubland	
